名称,r_mean,g_mean,b_mean,r_std,g_std,b_std
J15,-0.5258702067954318,-1.1909275521183065,-1.1694894278259642,-0.9656443224478484,-0.8315052103160675,-0.7416452405198288
J16,-1.0742194788070014,-1.4632635434131325,-1.169724891054658,-0.9325667251428014,-0.846484274542183,-0.7991684862339933
J17,-1.0038522795817295,-1.3742461124480783,-1.1545244315134242,0.509766860640313,0.028112452531223516,-0.24724296519019032
J18,-1.5383569481684896,-1.6251573510857342,-1.1618237916029324,-0.7512032822103354,-0.6622283682587596,-0.5382603582361521
J19,-1.9119324042181034,-1.8690451369726186,-1.1606988006213952,-0.783246094536551,-0.7089610584220518,-0.6322756020758579
J20,-1.5487690052896272,-1.6230309846566016,-1.1554662844281993,-0.7201174547210586,-0.7217111188282611,-0.49562444397847333
J21,-1.6696518442839359,-1.7001278765492454,-1.165931316814591,-0.644966776611809,-0.5575642261789178,-0.6774783194512969
J22,-1.6055776466153955,-1.5866894493223338,-1.112219538091436,5.637508097380594,5.519281935249441,3.040606355409131
J23,-2.128869330610161,-1.8434320868035203,-1.1499721424253437,1.1335805480877332,0.4113738358657283,-0.21117178330927408
J24,-2.456849129926001,-2.026299599708931,-1.1624778561270819,-0.22076269584246985,-0.3689776394062256,-0.4923613032202676
J25,-2.5067354695393647,-2.039057798283727,-1.1717132472080725,-0.918914153273283,-0.833910355022928,-0.7866975312908671
J26,-3.232146921715338,-2.495839968469228,-1.1462832185091407,0.06669244169112898,-0.2069646648083772,-0.5100930177568964
J27,-3.3719659744849024,-2.586113888687861,-1.1628441322606056,-0.25063232284022297,-0.8017167080945462,-0.6439262805314487
J28,-2.892954137807503,-2.426990800907766,-1.1718440601129023,-0.46631721341887056,-0.937216928486003,-0.9168927184004262
J29,-3.83513088906035,-2.648261780230239,-1.1567482508955325,-0.008115647855528192,-0.41484019865230254,-0.540240381218993
J30,-2.8121176723560324,-2.4749629162559255,-1.1566959257336005,-1.1313339168230274,-1.029547414230578,-0.7847193916971528
K1,0.6609898868041533,0.893362595856079,1.113980638884695,1.0333390518562537,0.9953053912431086,1.057721638367395
K2,0.5810115579286004,0.8483222887662687,1.0501962664896376,1.9795824895257672,1.9239399453234924,1.5361307144233411
K3,0.8580180446349144,0.9409158814530462,1.1286316842256432,-0.16467659400603582,-0.2544526898390388,-0.1736686814121039
K4,0.7394235698430538,0.943718819018721,1.1523611451617861,-0.7161994368072742,-0.6472115736817307,-0.22091126899547248
K5,0.5490316681993914,0.8364984027133642,1.0276179591159977,-0.08800270424252468,-0.06864694622397592,0.005265832068289504
K6,0.5855882863334961,0.7911037012186984,0.9639643996257704,-0.5214167355451035,-0.4678181207249418,-0.30361665002305477
